iso_o,iso_d,year,FLOW_WDEU,FLOWU,FLOWP,FLOW_WDEU_nb,FLOWU_nb,FLOWP_nb,fx_GBR,fx_EDEU
EDEU,WDEU,1948,,,,124100000,29582956,10565345,.35714298,4.194983
EDEU,WDEU,1949,,,,205800000,49058600,17520934,.35714298,4.194983
EDEU,WDEU,1950,,,,414600000,98832344,35297280,.35714298,4.194983
EDEU,WDEU,1951,,,,145300000,34636612,12370223,.35714298,4.194983
EDEU,WDEU,1952,220300000,52515112,18755404,172100000,41025196,14651861,.35714298,4.194983
EDEU,WDEU,1953,306900000,73071432,26096950,205500000,48928572,17474496,.35714298,4.1999998
EDEU,WDEU,1954,449700000,107071432,38239812,339300000,80785720,28852054,.35714298,4.1999998
EDEU,WDEU,1955,587900000,139976192,49991516,461400000,109857144,39234708,.35714298,4.1999998
EDEU,WDEU,1956,653500000,155595248,55569752,521200000.0000001,124095240,44319744,.35714298,4.1999998
EDEU,WDEU,1957,817300000,194595248,69498328,671500000,159880960,57100364,.35714298,4.1999998
EDEU,WDEU,1958,858200000,204333344,72976224,660100000,157166672,56130976,.35714298,4.1999998
EDEU,WDEU,1959,891700000,212309536,75824864,711000000,169285728,60459212,.35714298,4.1999998
EDEU,WDEU,1960,1122500000,267261920,95450720,938200000,223380960,79778944,.35714298,4.1999998
EDEU,WDEU,1961,940900000,233280992,83314672,775500000,192272736,68668856,.35714298,4.0333333
EDEU,WDEU,1962,914400000,228600000,81642888,,,,.35714298,4
EDEU,WDEU,1963,1022300000,255575008,91276824,,,,.35714298,4
EDEU,WDEU,1964,1027400000,256850000,91732176,,,,.35714298,4
EDEU,WDEU,1965,1260400000,315100000,112535752,,,,.35714298,4
EDEU,WDEU,1966,1345400000,336350016,120125048,,,,.35714298,4
EDEU,WDEU,1967,1263900000,315975008,114415608,,,,.36210334,4
EDEU,WDEU,1968,1439500000,359875008,149948032,,,,.41666698,4
EDEU,WDEU,1969,1656300000,420025344,175010688,,,,.41666698,3.9433334
EDEU,WDEU,1970,1996000000,545355200,227231504,,,,.41666698,3.6600001
EDEU,WDEU,1971,2318700000,661089216,271654944,,,,.41092023,3.5073936
EDEU,WDEU,1972,2380900000,746681600,298964192,,,,.40039048,3.1886415
EDEU,WDEU,1973,2659600000,995135808,406185504,,,,.40817094,2.6726
EDEU,WDEU,1974,3252500000,1256883456,537640000,,,,.42775643,2.58775
EDEU,WDEU,1975,3342300000,1358497536,614096832,,,,.45204118,2.4602916
EDEU,WDEU,1976,3876700000,1539595008,856799808,,,,.55650985,2.5179999
EDEU,WDEU,1977,3961000000,1705722368,977842880,,,,.57327199,2.3221834
EDEU,WDEU,1978,3899900000,1941576960,1012541248,,,,.52150458,2.008625
EDEU,WDEU,1979,4588900000,2503650816,1182176768,,,,.47218117,1.8328834
EDEU,WDEU,1980,5579600000,3069649664,1320854912,,,,.43029499,1.8176666
EDEU,WDEU,1981,6050600000,2677256704,1332313600,,,,.49764132,2.26
EDEU,WDEU,1982,6639300000,2736059904,1566248832,,,,.57244682,2.4265916
EDEU,WDEU,1983,6878200000,2693891072,1777226240,,,,.65972459,2.5532584
EDEU,WDEU,1984,7744200000,2721137920,2045769600,,,,.75180668,2.8459418
EDEU,WDEU,1985,7635800000,2593711360,2021139072,,,,.77924597,2.9439666
EDEU,WDEU,1986,6843600000,3151578368,2149998336,,,,.68219733,2.1714833
EDEU,WDEU,1987,6646900000,3698081024,2262953728,,,,.6119265,1.7973917
EDEU,WDEU,1988,6788700000,3865507072,2173072640,,,,.56217015,1.756225
EDEU,WDEU,1989,7205400000,3832574464,2342364928,,,,.61117274,1.8800417
WDEU,EDEU,1948,,,,155000000,36948900,13196040,.35714298,4.194983
WDEU,EDEU,1949,,,,221700000,52848844,18874594,.35714298,4.194983
WDEU,EDEU,1950,,,,330000000,78665400,28094796,.35714298,4.194983
WDEU,EDEU,1951,,,,141400000,33706932,12038194,.35714298,4.194983
WDEU,EDEU,1952,178500000,42550828,15196730,158600000,37807068,13502529,.35714298,4.194983
WDEU,EDEU,1953,271300000,64595240,23069736,238700000,56833336,20297628,.35714298,4.1999998
WDEU,EDEU,1954,454500000,108214288,38647972,420800000,100190480,35782328,.35714298,4.1999998
WDEU,EDEU,1955,562600000,133952384,47840156,518299999.9999999,123404768,44073148,.35714298,4.1999998
WDEU,EDEU,1956,699200000,166476192,59455804,639800000,152333344,54404784,.35714298,4.1999998
WDEU,EDEU,1957,845900000,201404768,71930304,784800000,186857152,66734720,.35714298,4.1999998
WDEU,EDEU,1958,800400000,190571440,68061256,732000000,174285728,62244924,.35714298,4.1999998
WDEU,EDEU,1959,1078600000,256809536,91717728,1007700000,239928576,85688808,.35714298,4.1999998
WDEU,EDEU,1960,959500000,228452384,81590168,885200000,210761920,75272144,.35714298,4.1999998
WDEU,EDEU,1961,872900000,216421488,77293416,808300000,200404960,71573224,.35714298,4.0333333
WDEU,EDEU,1962,852700000,213175008,76133960,,,,.35714298,4
WDEU,EDEU,1963,859600000,214900000,76750024,,,,.35714298,4
WDEU,EDEU,1964,1151000000,287750016,102767896,,,,.35714298,4
WDEU,EDEU,1965,1206100000,301524992,107687536,,,,.35714298,4
WDEU,EDEU,1966,1625300000,406324992,145116128,,,,.35714298,4
WDEU,EDEU,1967,1483000000,370750016,134249824,,,,.36210334,4
WDEU,EDEU,1968,1422200000,355550016,148145952,,,,.41666698,4
WDEU,EDEU,1969,2271800000,576111552,240046656,,,,.41666698,3.9433334
WDEU,EDEU,1970,2415500000,659972672,274988832,,,,.41666698,3.6600001
WDEU,EDEU,1971,2498600000,712380864,292731712,,,,.41092023,3.5073936
WDEU,EDEU,1972,2927400000,918071232,367586976,,,,.40039048,3.1886415
WDEU,EDEU,1973,2998500000,1121941120,457943744,,,,.40817094,2.6726
WDEU,EDEU,1974,3670800000,1418529664,606785152,,,,.42775643,2.58775
WDEU,EDEU,1975,3921600000,1593957376,720534400,,,,.45204118,2.4602916
WDEU,EDEU,1976,4268700000,1695274112,943436736,,,,.55650985,2.5179999
WDEU,EDEU,1977,4409400000,1898816512,1088538368,,,,.57327199,2.3221834
WDEU,EDEU,1978,4574900000,2277627648,1187793280,,,,.52150458,2.008625
WDEU,EDEU,1979,4719600000,2574959360,1215847296,,,,.47218117,1.8328834
WDEU,EDEU,1980,5293200000,2912084992,1253055616,,,,.43029499,1.8176666
WDEU,EDEU,1981,5575100000,2466858496,1227610752,,,,.49764132,2.26
WDEU,EDEU,1982,6382300000,2630149888,1505620992,,,,.57244682,2.4265916
WDEU,EDEU,1983,6947100000,2720876288,1795028992,,,,.65972459,2.5532584
WDEU,EDEU,1984,6408100000,2251662336,1692814720,,,,.75180668,2.8459418
WDEU,EDEU,1985,7901000000,2683793920,2091335552,,,,.77924597,2.9439666
WDEU,EDEU,1986,7454200000,3432768768,2341825792,,,,.68219733,2.1714833
WDEU,EDEU,1987,7367400000,4098939648,2508249856,,,,.6119265,1.7973917
WDEU,EDEU,1988,7234200000,4119176192,2315677952,,,,.56217015,1.756225
WDEU,EDEU,1989,8103500000,4310276608,2634323456,,,,.61117274,1.8800417
